user_id,user_interest_summary,scene,data_type
1003628,"喜欢：用户偏好家居用品（如按摩垫、珊瑚绒浴裙、风扇防尘罩）、个人护理产品（如收腹裤、足浴包、内衣）和数码设备（如华为手机、Apple产品、平板电脑），关键词包括回收、家庭积分、健康养生，品牌涉及华为、Apple、vivo，使用场景为家庭生活（如家庭服务、资产管理）和健康养生（如足疗）。  
不喜欢：用户不喜欢酒店服务（如万豪婚宴）、快餐食品（如麦当劳甜品）和娱乐会员（如爱奇艺VIP），关键词如优惠券、会员卡、积分兑换，品牌如万豪、中国移动，使用场景为旅行住宿（如城市酒店）和娱乐消费（如会员订阅）。",1,complete
337888,"喜欢：用户偏好出行服务（如打车、租车、专车）、外卖和电子产品（品牌如滴滴出行、华为、小米），使用场景为日常出行和在线消费，关键词涉及滴滴出行、公交和外卖点餐。
不喜欢：用户不喜欢信用报告查询服务和高端折叠屏手机（如三星、vivo），与点击行为相反。",1,complete
1446163,"喜欢：用户偏好支付宝平台的现金红包和日常消耗品（如棉柔巾、湿巾），关键词包括红包、赚一点和消费金，品牌倾向支付宝，使用场景为日常小额消费和赚取现金奖励，体现对金融红包类服务和基础生活用品的兴趣。

不喜欢：用户不喜欢赚零花的签到奖励应用（如多多有礼）和特定商品（如电吹风、运动袜），基于未点击行为，与点击偏好相反的特征包括间接赚取机制和非消耗性日用品。",1,complete
1966571,"喜欢：用户偏好品类包括超市购物（如京客隆、物美超市）和外卖服务（如饿了么、美团），关键词涉及优惠券、红包、积分和任务赚钱（如月月赚），品牌倾向京客隆、全家FamilyMart、支付宝和哈啰出行，使用场景为日常消费、在线点餐、出行通勤（如低碳出行）及参与赚钱活动（如芭芭农场种树）。

不喜欢：用户不喜欢招聘求职类服务（如青团社招聘）和特定餐饮点餐服务（如久久丫点餐），基于未点击商品中与点击行为相反的招聘、求职特征（如找工作、兼职）及火锅类餐饮（如番茄锅、麻辣锅）。",1,complete
530809,"喜欢：用户偏好红包领取和现金任务类活动（如月月赚、公交地铁乘车红包），关键词集中于现金、红包和消费福利，品牌涉及支付宝相关服务（如蚂蚁庄园），使用场景为日常通勤交通支付和消费优惠活动。

不喜欢：用户不喜欢转账操作，特别是批量转账和劳务费相关服务。",1,complete
288253,"喜欢：用户偏好金融任务服务品类（如红包、现金奖励和任务完成），关键词包括支付宝、理财、红包和淘票票，品牌如阿里妈妈、支付宝和淘票票，使用场景涉及日常在线任务管理（如打卡赚钱、转账红包）和娱乐消费（如电影票购买），具体体现在点击叮咚买菜、睡觉打卡、月月赚等商品，结合搜索关键词如转帐交易、理财和支付宝。

不喜欢：用户不喜欢早起打卡任务、运动追踪应用和求职服务品类，基于未点击商品中与点击行为相反的特征（如未点击早起打卡-嗨豹校园、多多走路和青团社招聘），关键词包括运动、求职和早起，品牌如乐动力和青团社，使用场景涉及健身追踪和就业平台。",1,complete
774589,"喜欢：用户偏好加油服务品类（如易捷加油），关键词包括油卡、充值、支付宝，品牌如易捷、中石化、支付宝，使用场景为出行加油和在线支付充值，基于点击商品（证件中心|易捷加油）和搜索关键词（易加油、油卡）体现对证件管理、支付功能的兴趣。

不喜欢：用户不喜欢其他加油服务品牌（如团油、中油好客），以及折扣优惠、开票等促销特征，基于未点击商品（支付宝加油|团油|中油好客e站）实体词（折扣优惠、发票、优惠券）与点击行为相反。",1,complete
836702,"喜欢：用户偏好金融理财品类，如红包、现金红包和任务赚钱（如月月赚），关键词包括现金、月月赚、支付宝和任务，品牌倾向支付宝相关服务，使用场景聚焦日常理财和赚取额外收入（如通过红包任务获取收益）。

不喜欢：基于未点击商品特征，用户不喜欢提现机制（如天天提现）和开宝箱类任务，以及非金融品类如美妆个护、装饰装修和电话费充值。",1,complete
870314,"喜欢：该用户偏好金融储蓄品类，如支付宝的小荷包功能，关键词包括攒现金、攒钱计划、小程序app和计划，品牌偏好支付宝，使用场景涉及个人财务管理、通过移动应用进行储蓄和音频内容消费（如读书听书）。

不喜欢：该用户不喜欢与金融储蓄无关的内容，如情侣互动（情侣相册）、特定食品（小熊荷包鸡）和教育费用相关（小钱袋），这些特征基于未点击商品与点击行为相反。",1,complete
329575,"喜欢：该用户偏好通信服务品类，关键词包括流量卡、电话费、王卡和中国联通，品牌如中国联通、腾讯（通过王卡）和电信，使用场景为办理手机卡、充值话费及管理流量服务，体现对手机通信和流量管理的强烈兴趣。  
不喜欢：基于未点击商品中与点击行为相反的特征，该用户不喜欢金融储蓄产品（如笔笔攒）、投资工具（如赚金币）、非通信相关电商商品（如女装、美妆）以及签到赚现金活动（如集宝星球）。",1,complete
